case_id,s_observed_mm,grid_mm,s_upward_mapped_mm,mapping_delta_um,discrete_status,continuous_status,continuous_margin_um,agreement,error_type
HO-0000,4.37420629603144,0.004,4.376,1.79370396856000,RECOVERABLE,RECOVERABLE,0.7797486437176104,true,AGREEMENT_RECOVERABLE
HO-0001,4.613825224200808,0.004,4.616,2.174775799192000,IRRECOVERABLE,IRRECOVERABLE,-1.5831782530007956,true,AGREEMENT_IRRECOVERABLE
HO-0002,4.581844073372435,0.004,4.584,2.155926627565000,IRRECOVERABLE,RECOVERABLE,0.38077767381329863,false,CONSERVATIVE_FALSE_REJECTION
HO-0003,4.75801088187586,0.004,4.76,1.98911812414000,IRRECOVERABLE,IRRECOVERABLE,-10.299522851981877,true,AGREEMENT_IRRECOVERABLE
HO-0004,4.293280376741941,0.004,4.296,2.719623258059000,RECOVERABLE,RECOVERABLE,0.7797486437184062,true,AGREEMENT_RECOVERABLE
HO-0005,4.663349044275552,0.004,4.664,0.650955724448000,IRRECOVERABLE,IRRECOVERABLE,-4.6023968922444,true,AGREEMENT_IRRECOVERABLE
HO-0006,4.313658884243675,0.004,4.316,2.341115756325000,RECOVERABLE,RECOVERABLE,0.7797486437179799,true,AGREEMENT_RECOVERABLE
HO-0007,4.519087883092836,0.004,4.52,0.912116907164000,RECOVERABLE,RECOVERABLE,0.779748643718051,true,AGREEMENT_RECOVERABLE
HO-0008,4.50192900396191,0.004,4.504,2.07099603809000,RECOVERABLE,RECOVERABLE,0.7797486437178947,true,AGREEMENT_RECOVERABLE
HO-0009,4.719948242055158,0.004,4.72,0.051757944842000,IRRECOVERABLE,IRRECOVERABLE,-8.02037316578523,true,AGREEMENT_IRRECOVERABLE
HO-0010,4.629337764686904,0.004,4.632,2.662235313096000,IRRECOVERABLE,IRRECOVERABLE,-2.5317740440539325,true,AGREEMENT_IRRECOVERABLE
HO-0011,4.476066553162793,0.004,4.48,3.933446837207000,RECOVERABLE,RECOVERABLE,0.7797486437180936,true,AGREEMENT_RECOVERABLE
HO-0012,4.760673772946892,0.004,4.764,3.326227053108000,IRRECOVERABLE,IRRECOVERABLE,-10.458392241606177,true,AGREEMENT_IRRECOVERABLE
HO-0013,4.562492290326929,0.004,4.564,1.507709673071000,RECOVERABLE,RECOVERABLE,0.7797486437180936,true,AGREEMENT_RECOVERABLE
HO-0014,4.19824394841659,0.004,4.2,1.75605158341000,RECOVERABLE,RECOVERABLE,0.7797486437180936,true,AGREEMENT_RECOVERABLE
HO-0015,4.792143315316093,0.004,4.796,3.856684683907000,IRRECOVERABLE,IRRECOVERABLE,-12.330141852432575,true,AGREEMENT_IRRECOVERABLE
HO-0016,4.684076541537306,0.004,4.688,3.923458462694000,IRRECOVERABLE,IRRECOVERABLE,-5.858134323355586,true,AGREEMENT_IRRECOVERABLE
HO-0017,4.758434923201739,0.004,4.76,1.565076798261000,IRRECOVERABLE,IRRECOVERABLE,-10.324826447288558,true,AGREEMENT_IRRECOVERABLE
HO-0018,4.780337888796062,0.004,4.784,3.662111203938000,IRRECOVERABLE,IRRECOVERABLE,-11.629215878332289,true,AGREEMENT_IRRECOVERABLE
HO-0019,4.42008638109366,0.004,4.424,3.91361890634000,RECOVERABLE,RECOVERABLE,0.779748643718051,true,AGREEMENT_RECOVERABLE
HO-0020,4.747205728633559,0.004,4.748,0.794271366441000,IRRECOVERABLE,IRRECOVERABLE,-9.654102716060947,true,AGREEMENT_IRRECOVERABLE
HO-0021,4.498981834408552,0.004,4.5,1.018165591448000,RECOVERABLE,RECOVERABLE,0.779748643717781,true,AGREEMENT_RECOVERABLE
HO-0022,4.594979070831228,0.004,4.596,1.020929168772000,IRRECOVERABLE,IRRECOVERABLE,-0.4271943033291876,true,AGREEMENT_IRRECOVERABLE
HO-0023,4.240883852770871,0.004,4.244,3.116147229129000,RECOVERABLE,RECOVERABLE,0.779748643717781,true,AGREEMENT_RECOVERABLE
HO-0024,4.238155635334473,0.004,4.24,1.844364665527000,RECOVERABLE,RECOVERABLE,0.779748643716772,true,AGREEMENT_RECOVERABLE
