downstream_passes,successor_mm,classified_status,classification_detail,feasible,capacity_reason,optimizer_success,optimizer_message,multistart_count,decision_at_limit,residual_valid,residual_validity_detail,removal_sum_abs_mm,action_bound_violation_mm,epigraph_violation_um,terminal_thickness_abs_mm,optimal_worst_deflection_um,recoverability_margin_um
1,3.46,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,True,,False,Inequality constraints incompatible,1,PASS,True,residual_checks_pass,1.1102230246251565e-16,0.0,0.0,0.0,99.22025135628195,0.779748643718051
1,3.461,PASS,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,1,PASS,True,residual_checks_pass,0.0,0.0,0.0,0.0,99.55498849451998,0.445011505480025
1,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,1,PASS,True,residual_checks_pass,0.0,0.0,0.0,0.0,99.88995983826315,0.11004016173684761
1,3.463,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,1,FAIL,True,residual_checks_pass,0.0,0.0,0.0,0.0,100.22516499428275,-0.22516499428274983
1,3.464,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,1,FAIL,True,residual_checks_pass,0.0,0.0,0.0,0.0,100.56060357092657,-0.560603570926574
1,3.465,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,1,FAIL,True,residual_checks_pass,0.0,0.0,1.4210854715202004e-14,0.0,100.89627517810752,-0.8962751781075156
1,3.466,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,1,FAIL,True,residual_checks_pass,0.0,0.0,0.0,0.0,101.23217942729237,-1.2321794272923654
1,3.467,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,1,FAIL,True,residual_checks_pass,0.0,0.0,0.0,0.0,101.56831593149045,-1.5683159314904458
1,3.468,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,1,FAIL,True,residual_checks_pass,0.0,0.0,0.0,0.0,101.9046843052458,-1.9046843052457945
1,3.469,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,1,FAIL,True,residual_checks_pass,0.0,0.0,0.0,0.0,102.24128416462416,-2.2412841646241617
1,3.47,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,1,FAIL,True,residual_checks_pass,0.0,0.0,0.0,0.0,102.57811512720399,-2.5781151272039864
1,3.471,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,1,FAIL,True,residual_checks_pass,0.0,0.0,0.0,0.0,102.91517681206652,-2.9151768120665196
1,3.472,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,1,FAIL,True,residual_checks_pass,0.0,0.0,0.0,0.0,103.25246883978419,-3.2524688397841857
1,3.473,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,1,FAIL,True,residual_checks_pass,0.0,0.0,0.0,0.0,103.58999083241261,-3.58999083241261
1,3.474,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,1,FAIL,True,residual_checks_pass,0.0,0.0,0.0,0.0,103.92774241347945,-3.92774241347945
1,3.475,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,1,FAIL,True,residual_checks_pass,0.0,0.0,0.0,0.0,104.26572320797455,-4.2657232079745455
1,3.476,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,1,FAIL,True,residual_checks_pass,0.0,0.0,0.0,0.0,104.60393284234074,-4.60393284234074
