state_order,state_mm,rpra_action_mm,online_action_mm,rpra_immediate_deflection_um,online_immediate_deflection_um,rpra_successor_mm,online_successor_mm,rpra_selected_continuous_status,online_selected_continuous_status,online_discrete_class,exact_action_agreement,signed_action_delta_um_online_minus_rpra,absolute_action_difference_um,immediate_deflection_delta_um_rpra_minus_online,disagreement_classification
0,4.18,0.36,0.36,53.026787309836045,53.026787309836045,3.82,3.82,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
1,4.181,0.36,0.36,52.985165029703495,52.985165029703495,3.821,3.821,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
2,4.182,0.36,0.36,52.943586298906844,52.943586298906844,3.822,3.822,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
3,4.183,0.36,0.36,52.90205106050394,52.90205106050394,3.823,3.823,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
4,4.184,0.36,0.36,52.86055925764199,52.86055925764199,3.824,3.824,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
5,4.185,0.36,0.36,52.81911083355733,52.81911083355733,3.825,3.825,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
6,4.186,0.36,0.36,52.777705731575345,52.777705731575345,3.826,3.826,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
7,4.187,0.36,0.36,52.73634389511021,52.73634389511021,3.827,3.827,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
8,4.188,0.36,0.36,52.69502526766479,52.69502526766479,3.828,3.828,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
9,4.189,0.36,0.36,52.65374979283043,52.65374979283043,3.829,3.829,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
10,4.19,0.36,0.36,52.612517414286856,52.612517414286856,3.83,3.83,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
11,4.191,0.36,0.36,52.571328075801944,52.571328075801944,3.831,3.831,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
12,4.192,0.36,0.36,52.530181721231614,52.530181721231614,3.832,3.832,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
13,4.193,0.36,0.36,52.48907829451962,52.48907829451962,3.833,3.833,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
14,4.194,0.36,0.36,52.44801773969748,52.44801773969748,3.834,3.834,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
15,4.195,0.36,0.36,52.4070000008842,52.4070000008842,3.835,3.835,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
16,4.196,0.36,0.36,52.36602502228619,52.36602502228619,3.836,3.836,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
17,4.197,0.36,0.36,52.325092748197044,52.325092748197044,3.837,3.837,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
18,4.198,0.36,0.36,52.284203122997496,52.284203122997496,3.838,3.838,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
19,4.199,0.36,0.36,52.24335609115513,52.24335609115513,3.839,3.839,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
20,4.2,0.36,0.36,52.20255159722428,52.20255159722428,3.84,3.84,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
21,4.201,0.36,0.36,52.16178958584585,52.16178958584585,3.841,3.841,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
22,4.202,0.36,0.36,52.12107000174724,52.12107000174724,3.842,3.842,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
23,4.203,0.36,0.36,52.0803927897421,52.0803927897421,3.843,3.843,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
