state_order,state_mm,remaining_passes,rpra_action_mm,rpra_immediate_deflection_um,rpra_successor_mm,rpra_discrete_class,rpra_selected_continuous_status,rpra_selected_continuous_detail,online_decision_status,online_action_mm,online_immediate_deflection_um,online_successor_mm,online_discrete_class,online_selected_continuous_status,exact_action_agreement,signed_action_delta_um_online_minus_rpra,absolute_action_difference_um,immediate_deflection_delta_um_rpra_minus_online,disagreement_classification,rpra_local_candidate_count,rpra_preserving_candidate_count,online_local_candidate_count,online_continuous_solve_calls,online_downstream_pass_count_evaluated,online_downstream_fail_count_evaluated,online_downstream_unresolved_count_evaluated
0,4.18,3,0.36,53.026787309836045,3.82,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,53.026787309836045,3.82,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,1,1,1,1,1,0,0
1,4.181,3,0.36,52.985165029703495,3.821,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,52.985165029703495,3.821,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,2,2,2,1,1,0,0
2,4.182,3,0.36,52.943586298906844,3.822,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,52.943586298906844,3.822,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,3,3,3,1,1,0,0
3,4.183,3,0.36,52.90205106050394,3.823,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,52.90205106050394,3.823,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,4,4,4,1,1,0,0
4,4.184,3,0.36,52.86055925764199,3.824,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,52.86055925764199,3.824,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,5,5,5,1,1,0,0
5,4.185,3,0.36,52.81911083355733,3.825,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,PASS,0.36,52.81911083355733,3.825,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,6,6,6,1,1,0,0
6,4.186,3,0.36,52.777705731575345,3.826,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,52.777705731575345,3.826,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,7,7,7,1,1,0,0
7,4.187,3,0.36,52.73634389511021,3.827,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,52.73634389511021,3.827,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,8,8,8,1,1,0,0
8,4.188,3,0.36,52.69502526766479,3.828,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,52.69502526766479,3.828,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,9,9,9,1,1,0,0
9,4.189,3,0.36,52.65374979283043,3.829,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,52.65374979283043,3.829,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,10,10,10,1,1,0,0
10,4.19,3,0.36,52.612517414286856,3.83,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,52.612517414286856,3.83,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,11,11,11,1,1,0,0
11,4.191,3,0.36,52.571328075801944,3.831,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,52.571328075801944,3.831,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,12,12,12,1,1,0,0
12,4.192,3,0.36,52.530181721231614,3.832,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,PASS,0.36,52.530181721231614,3.832,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,13,13,13,1,1,0,0
13,4.193,3,0.36,52.48907829451962,3.833,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,52.48907829451962,3.833,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,14,14,14,1,1,0,0
14,4.194,3,0.36,52.44801773969748,3.834,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,52.44801773969748,3.834,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,15,15,15,1,1,0,0
