subset_position,source_state_index_0based,state_mm,policy,run_kind,measured_repetition,elapsed_ns,elapsed_ms,continuous_solve_calls,decision_status,selected_action_mm
0,0,4.18,RPRA,WARMUP,0,221800,0.2218,0,PASS,0.36
0,0,4.18,RPRA,MEASURED,1,168200,0.1682,0,PASS,0.36
0,0,4.18,RPRA,MEASURED,2,177200,0.1772,0,PASS,0.36
0,0,4.18,RPRA,MEASURED,3,159000,0.159,0,PASS,0.36
0,0,4.18,RPRA,MEASURED,4,156100,0.1561,0,PASS,0.36
0,0,4.18,RPRA,MEASURED,5,154500,0.1545,0,PASS,0.36
0,0,4.18,ONLINE-REOPT,WARMUP,0,29281800,29.2818,1,PASS,0.36
0,0,4.18,ONLINE-REOPT,MEASURED,1,29772500,29.7725,1,PASS,0.36
0,0,4.18,ONLINE-REOPT,MEASURED,2,29739000,29.739,1,PASS,0.36
0,0,4.18,ONLINE-REOPT,MEASURED,3,29061900,29.0619,1,PASS,0.36
0,0,4.18,ONLINE-REOPT,MEASURED,4,29257200,29.2572,1,PASS,0.36
0,0,4.18,ONLINE-REOPT,MEASURED,5,29258600,29.2586,1,PASS,0.36
1,10,4.19,RPRA,WARMUP,0,216500,0.2165,0,PASS,0.36
1,10,4.19,RPRA,MEASURED,1,167600,0.1676,0,PASS,0.36
1,10,4.19,RPRA,MEASURED,2,169200,0.1692,0,PASS,0.36
1,10,4.19,RPRA,MEASURED,3,159100,0.1591,0,PASS,0.36
1,10,4.19,RPRA,MEASURED,4,156200,0.1562,0,PASS,0.36
1,10,4.19,RPRA,MEASURED,5,156000,0.156,0,PASS,0.36
1,10,4.19,ONLINE-REOPT,WARMUP,0,51015500,51.0155,1,PASS,0.36
1,10,4.19,ONLINE-REOPT,MEASURED,1,50805900,50.8059,1,PASS,0.36
1,10,4.19,ONLINE-REOPT,MEASURED,2,51368300,51.3683,1,PASS,0.36
1,10,4.19,ONLINE-REOPT,MEASURED,3,51004900,51.0049,1,PASS,0.36
1,10,4.19,ONLINE-REOPT,MEASURED,4,50743500,50.7435,1,PASS,0.36
1,10,4.19,ONLINE-REOPT,MEASURED,5,51199600,51.1996,1,PASS,0.36
2,20,4.2,RPRA,WARMUP,0,216600,0.2166,0,PASS,0.36
2,20,4.2,RPRA,MEASURED,1,164700,0.1647,0,PASS,0.36
2,20,4.2,RPRA,MEASURED,2,158500,0.1585,0,PASS,0.36
2,20,4.2,RPRA,MEASURED,3,156300,0.1563,0,PASS,0.36
2,20,4.2,RPRA,MEASURED,4,156100,0.1561,0,PASS,0.36
2,20,4.2,RPRA,MEASURED,5,171700,0.1717,0,PASS,0.36
2,20,4.2,ONLINE-REOPT,WARMUP,0,39451900,39.4519,1,PASS,0.36
2,20,4.2,ONLINE-REOPT,MEASURED,1,39570600,39.5706,1,PASS,0.36
2,20,4.2,ONLINE-REOPT,MEASURED,2,39775200,39.7752,1,PASS,0.36
2,20,4.2,ONLINE-REOPT,MEASURED,3,39252700,39.2527,1,PASS,0.36
2,20,4.2,ONLINE-REOPT,MEASURED,4,39389500,39.3895,1,PASS,0.36
2,20,4.2,ONLINE-REOPT,MEASURED,5,39347100,39.3471,1,PASS,0.36
3,30,4.21,RPRA,WARMUP,0,224800,0.2248,0,PASS,0.36
