start_state_mm,step,remaining_passes_before,rpra_state_before_mm,online_state_before_mm,rpra_action_mm,online_action_mm,rpra_immediate_deflection_um,online_immediate_deflection_um,rpra_successor_mm,online_successor_mm,online_discrete_class,rpra_continuous_status,online_continuous_status,rpra_step_status,online_step_status,disagreement_classification,is_first_decision_disagreement
4.18,2,2,3.82,3.82,0.36,,71.36037244201924,,3.46,,,NUMERICAL_UNRESOLVED,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,False
4.185,1,3,4.185,4.185,0.36,,52.81911083355733,,3.825,,,NUMERICAL_UNRESOLVED,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.192,1,3,4.192,4.192,0.36,,52.530181721231614,,3.832,,,NUMERICAL_UNRESOLVED,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.203,1,3,4.203,4.203,0.36,,52.0803927897421,,3.843,,,NUMERICAL_UNRESOLVED,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.212,1,3,4.212,4.212,0.36,,51.71619556265447,,3.852,,,NUMERICAL_UNRESOLVED,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.218,1,3,4.218,4.218,0.36,,51.475281996330175,,3.858,,,NUMERICAL_UNRESOLVED,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.226,1,3,4.226,4.226,0.36,,51.15638595998316,,3.866,,,NUMERICAL_UNRESOLVED,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.231,1,3,4.231,4.231,0.36,,50.958412550161015,,3.871,,,NUMERICAL_UNRESOLVED,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.233,1,3,4.233,4.233,0.36,,50.87950921571976,,3.873,,,NUMERICAL_UNRESOLVED,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.235,1,3,4.235,4.235,0.36,,50.80076869441637,,3.875,,,NUMERICAL_UNRESOLVED,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.236,1,3,4.236,4.236,0.36,,50.761459357475125,,3.876,,,NUMERICAL_UNRESOLVED,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.239,1,3,4.239,4.239,0.36,,50.64377441360266,,3.879,,,NUMERICAL_UNRESOLVED,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.24,1,3,4.24,4.24,0.36,,50.604626947353346,,3.88,,,NUMERICAL_UNRESOLVED,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.242,1,3,4.242,4.242,0.36,,50.526452975167395,,3.882,,,NUMERICAL_UNRESOLVED,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.243,1,3,4.243,4.243,0.36,,50.487426365428945,,3.883,,,NUMERICAL_UNRESOLVED,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.251,1,3,4.251,4.251,0.36,,50.17665570076711,,3.891,,,NUMERICAL_UNRESOLVED,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.253,1,3,4.253,4.253,0.36,,50.09936176463223,,3.893,,,NUMERICAL_UNRESOLVED,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.26,1,3,4.26,4.26,0.36,,49.83007987584073,,3.9,,,NUMERICAL_UNRESOLVED,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.263,1,3,4.263,4.263,0.36,,49.71526406879751,,3.903,,,NUMERICAL_UNRESOLVED,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.266,1,3,4.266,4.266,0.36,,49.60080072760419,,3.906,,,NUMERICAL_UNRESOLVED,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.267,1,3,4.267,4.267,0.36,,49.56272437251595,,3.907,,,NUMERICAL_UNRESOLVED,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.27,1,3,4.27,4.27,0.36,,49.4487288845639,,3.91,,,NUMERICAL_UNRESOLVED,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.272,1,3,4.272,4.272,0.36,,49.37292604306616,,3.912,,,NUMERICAL_UNRESOLVED,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.274,1,3,4.274,4.274,0.36,,49.29727805922929,,3.914,,,NUMERICAL_UNRESOLVED,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.278,1,3,4.278,4.278,0.36,,49.14644508476175,,3.918,,,NUMERICAL_UNRESOLVED,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.29,1,3,4.29,4.29,0.36,,48.69762188773589,,3.93,,,NUMERICAL_UNRESOLVED,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.345,1,3,4.345,4.345,0.408,,56.408057400143306,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.346,1,3,4.346,4.346,0.409,,56.576756690733305,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.347,1,3,4.347,4.347,0.41,,56.7455618890663,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.348,1,3,4.348,4.348,0.411,,56.91447283492635,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.349,1,3,4.349,4.349,0.412,,57.08348936866161,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.35,1,3,4.35,4.35,0.413,,57.25261133118125,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.351,1,3,4.351,4.351,0.414,,57.42183856395226,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.352,1,3,4.352,4.352,0.415,,57.59117090899578,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
