subset_position,source_state_index_0based,state_mm,policy,run_kind,measured_repetition,elapsed_ns,elapsed_ms,continuous_solve_calls,decision_status,selected_action_mm
0,0,4.18,RPRA,WARMUP,0,248400,0.2484,0,PASS,0.36
0,0,4.18,RPRA,MEASURED,1,170200,0.1702,0,PASS,0.36
0,0,4.18,RPRA,MEASURED,2,159100,0.1591,0,PASS,0.36
0,0,4.18,RPRA,MEASURED,3,160300,0.1603,0,PASS,0.36
0,0,4.18,RPRA,MEASURED,4,152700,0.1527,0,PASS,0.36
0,0,4.18,RPRA,MEASURED,5,151400,0.1514,0,PASS,0.36
0,0,4.18,ONLINE-REOPT,WARMUP,0,29072500,29.0725,1,PASS,0.36
0,0,4.18,ONLINE-REOPT,MEASURED,1,28463900,28.4639,1,PASS,0.36
0,0,4.18,ONLINE-REOPT,MEASURED,2,28710600,28.7106,1,PASS,0.36
0,0,4.18,ONLINE-REOPT,MEASURED,3,28506000,28.506,1,PASS,0.36
0,0,4.18,ONLINE-REOPT,MEASURED,4,29263400,29.2634,1,PASS,0.36
0,0,4.18,ONLINE-REOPT,MEASURED,5,28551000,28.551,1,PASS,0.36
1,10,4.19,RPRA,WARMUP,0,196700,0.1967,0,PASS,0.36
1,10,4.19,RPRA,MEASURED,1,166600,0.1666,0,PASS,0.36
1,10,4.19,RPRA,MEASURED,2,160800,0.1608,0,PASS,0.36
1,10,4.19,RPRA,MEASURED,3,171000,0.171,0,PASS,0.36
1,10,4.19,RPRA,MEASURED,4,158400,0.1584,0,PASS,0.36
1,10,4.19,RPRA,MEASURED,5,158900,0.1589,0,PASS,0.36
1,10,4.19,ONLINE-REOPT,WARMUP,0,50096700,50.0967,1,PASS,0.36
1,10,4.19,ONLINE-REOPT,MEASURED,1,50515300,50.5153,1,PASS,0.36
1,10,4.19,ONLINE-REOPT,MEASURED,2,50685700,50.6857,1,PASS,0.36
1,10,4.19,ONLINE-REOPT,MEASURED,3,50451800,50.4518,1,PASS,0.36
1,10,4.19,ONLINE-REOPT,MEASURED,4,49941200,49.9412,1,PASS,0.36
1,10,4.19,ONLINE-REOPT,MEASURED,5,49796000,49.796,1,PASS,0.36
