metric,RPRA,ONLINE_REOPT,comparison_scope
first_action_exact_agreement,407/407,407/407,all frozen R_3_h starts
terminal_completion,407/407,407/407,full three-step rollout
full_sequence_agreement,407/407,407/407,all starts
selected_action_continuous_infeasible_count,0,0,all selected rollout actions
selected_action_discrete_rejected_count,0,0,all selected rollout actions
first_decision_downstream_continuous_solve_calls,0,42312,all 407 matched first decisions
first_decision_solve_calls_per_state_median,0,87,all 407 matched first decisions
first_decision_solve_calls_per_state_p95,0,269.7,all 407 matched first decisions
decision_latency_median_ms,0.1717,7080.9788,fixed 41-state subset and 205 measured calls per policy
decision_latency_iqr_ms,0.0156,15598.2814,fixed 41-state subset and 205 measured calls per policy
decision_latency_p95_ms,0.21758,23069.61692,fixed 41-state subset and 205 measured calls per policy
