state_mm,remaining_passes,myopic_action_mm,myopic_immediate_deflection_um,myopic_successor_mm,myopic_action_class,rpra_action_mm,rpra_immediate_deflection_um,rpra_successor_mm,immediate_deflection_sacrifice_um,selected_actions_differ
4.18,3,0.36,53.026787309836045,3.82,PRESERVING,0.36,53.026787309836045,3.82,0.0,False
4.181,3,0.36,52.985165029703495,3.821,PRESERVING,0.36,52.985165029703495,3.821,0.0,False
4.182,3,0.36,52.943586298906844,3.822,PRESERVING,0.36,52.943586298906844,3.822,0.0,False
4.183,3,0.36,52.90205106050394,3.823,PRESERVING,0.36,52.90205106050394,3.823,0.0,False
4.184,3,0.36,52.86055925764199,3.824,PRESERVING,0.36,52.86055925764199,3.824,0.0,False
4.185,3,0.36,52.81911083355733,3.825,PRESERVING,0.36,52.81911083355733,3.825,0.0,False
4.186,3,0.36,52.777705731575345,3.826,PRESERVING,0.36,52.777705731575345,3.826,0.0,False
4.187,3,0.36,52.73634389511021,3.827,PRESERVING,0.36,52.73634389511021,3.827,0.0,False
4.188,3,0.36,52.69502526766479,3.828,PRESERVING,0.36,52.69502526766479,3.828,0.0,False
4.189,3,0.36,52.65374979283043,3.829,PRESERVING,0.36,52.65374979283043,3.829,0.0,False
4.19,3,0.36,52.612517414286856,3.83,PRESERVING,0.36,52.612517414286856,3.83,0.0,False
4.191,3,0.36,52.571328075801944,3.831,PRESERVING,0.36,52.571328075801944,3.831,0.0,False
4.192,3,0.36,52.530181721231614,3.832,PRESERVING,0.36,52.530181721231614,3.832,0.0,False
4.193,3,0.36,52.48907829451962,3.833,PRESERVING,0.36,52.48907829451962,3.833,0.0,False
4.194,3,0.36,52.44801773969748,3.834,PRESERVING,0.36,52.44801773969748,3.834,0.0,False
4.195,3,0.36,52.4070000008842,3.835,PRESERVING,0.36,52.4070000008842,3.835,0.0,False
4.196,3,0.36,52.36602502228619,3.836,PRESERVING,0.36,52.36602502228619,3.836,0.0,False
4.197,3,0.36,52.325092748197044,3.837,PRESERVING,0.36,52.325092748197044,3.837,0.0,False
4.198,3,0.36,52.284203122997496,3.838,PRESERVING,0.36,52.284203122997496,3.838,0.0,False
4.199,3,0.36,52.24335609115513,3.839,PRESERVING,0.36,52.24335609115513,3.839,0.0,False
4.2,3,0.36,52.20255159722428,3.84,PRESERVING,0.36,52.20255159722428,3.84,0.0,False
4.201,3,0.36,52.16178958584585,3.841,PRESERVING,0.36,52.16178958584585,3.841,0.0,False
4.202,3,0.36,52.12107000174724,3.842,PRESERVING,0.36,52.12107000174724,3.842,0.0,False
4.203,3,0.36,52.0803927897421,3.843,PRESERVING,0.36,52.0803927897421,3.843,0.0,False
