case_id,offset_um,absolute_distance_from_boundary_um,state_mm,grid_mm,exact_upward_grid_index,mapped_state_mm,mapping_delta_um,continuous_status,continuous_recoverability_margin_um,continuous_optimizer_success,continuous_residual_valid,discrete_status,agreement,classification,discrete_upper_recoverable_boundary_mm,boundary_under_approximation_um
B2-0000,-20.00,20.00,4.568030453165504,0.004,1143,4.572,3.969546834496000,PASS,0.779748643718051,true,true,PASS,true,AGREEMENT_PASS,4.576,12.03045316550444
B2-0001,-19.75,19.75,4.568280453165504,0.004,1143,4.572,3.719546834496000,PASS,0.779748643718051,true,true,PASS,true,AGREEMENT_PASS,4.576,12.03045316550444
B2-0002,-19.50,19.50,4.568530453165504,0.004,1143,4.572,3.469546834496000,PASS,0.7797486437162036,true,true,PASS,true,AGREEMENT_PASS,4.576,12.03045316550444
B2-0003,-19.25,19.25,4.568780453165504,0.004,1143,4.572,3.219546834496000,PASS,0.7797486437173831,true,true,PASS,true,AGREEMENT_PASS,4.576,12.03045316550444
B2-0004,-19.00,19.00,4.569030453165504,0.004,1143,4.572,2.969546834496000,PASS,0.7797486437165162,true,true,PASS,true,AGREEMENT_PASS,4.576,12.03045316550444
B2-0005,-18.75,18.75,4.569280453165504,0.004,1143,4.572,2.719546834496000,PASS,0.779748643718051,true,true,PASS,true,AGREEMENT_PASS,4.576,12.03045316550444
B2-0006,-18.50,18.50,4.569530453165504,0.004,1143,4.572,2.469546834496000,PASS,0.7797486437177241,true,true,PASS,true,AGREEMENT_PASS,4.576,12.03045316550444
B2-0007,-18.25,18.25,4.569780453165504,0.004,1143,4.572,2.219546834496000,PASS,0.7797486437162888,true,true,PASS,true,AGREEMENT_PASS,4.576,12.03045316550444
B2-0008,-18.00,18.00,4.570030453165504,0.004,1143,4.572,1.969546834496000,PASS,0.779748643718051,true,true,PASS,true,AGREEMENT_PASS,4.576,12.03045316550444
B2-0009,-17.75,17.75,4.570280453165504,0.004,1143,4.572,1.719546834496000,PASS,0.779748643718051,true,true,PASS,true,AGREEMENT_PASS,4.576,12.03045316550444
B2-0010,-17.50,17.50,4.570530453165504,0.004,1143,4.572,1.469546834496000,PASS,0.7797486437180936,true,true,PASS,true,AGREEMENT_PASS,4.576,12.03045316550444
B2-0011,-17.25,17.25,4.570780453165504,0.004,1143,4.572,1.219546834496000,PASS,0.779748643718051,true,true,PASS,true,AGREEMENT_PASS,4.576,12.03045316550444
B2-0012,-17.00,17.00,4.571030453165504,0.004,1143,4.572,0.969546834496000,PASS,0.779748643718051,true,true,PASS,true,AGREEMENT_PASS,4.576,12.03045316550444
B2-0013,-16.75,16.75,4.571280453165504,0.004,1143,4.572,0.719546834496000,PASS,0.779748643717781,true,true,PASS,true,AGREEMENT_PASS,4.576,12.03045316550444
B2-0014,-16.50,16.50,4.571530453165504,0.004,1143,4.572,0.469546834496000,PASS,0.7797486437180936,true,true,PASS,true,AGREEMENT_PASS,4.576,12.03045316550444
B2-0015,-16.25,16.25,4.571780453165504,0.004,1143,4.572,0.219546834496000,PASS,0.7797486437165873,true,true,PASS,true,AGREEMENT_PASS,4.576,12.03045316550444
B2-0016,-16.00,16.00,4.572030453165504,0.004,1144,4.576,3.969546834496000,PASS,0.779748643718051,true,true,PASS,true,AGREEMENT_PASS,4.576,12.03045316550444
B2-0017,-15.75,15.75,4.572280453165504,0.004,1144,4.576,3.719546834496000,PASS,0.7797486437180936,true,true,PASS,true,AGREEMENT_PASS,4.576,12.03045316550444
B2-0018,-15.50,15.50,4.572530453165504,0.004,1144,4.576,3.469546834496000,PASS,0.7797486437180936,true,true,PASS,true,AGREEMENT_PASS,4.576,12.03045316550444
B2-0019,-15.25,15.25,4.572780453165504,0.004,1144,4.576,3.219546834496000,PASS,0.779748643718051,true,true,PASS,true,AGREEMENT_PASS,4.576,12.03045316550444
B2-0020,-15.00,15.00,4.573030453165504,0.004,1144,4.576,2.969546834496000,PASS,0.779748643718051,true,true,PASS,true,AGREEMENT_PASS,4.576,12.03045316550444
B2-0021,-14.75,14.75,4.573280453165504,0.004,1144,4.576,2.719546834496000,PASS,0.779748643718051,true,true,PASS,true,AGREEMENT_PASS,4.576,12.03045316550444
B2-0022,-14.50,14.50,4.573530453165504,0.004,1144,4.576,2.469546834496000,PASS,0.7797486437180936,true,true,PASS,true,AGREEMENT_PASS,4.576,12.03045316550444
B2-0023,-14.25,14.25,4.573780453165504,0.004,1144,4.576,2.219546834496000,PASS,0.7797486437180936,true,true,PASS,true,AGREEMENT_PASS,4.576,12.03045316550444
B2-0024,-14.00,14.00,4.574030453165504,0.004,1144,4.576,1.969546834496000,PASS,0.7797486437179799,true,true,PASS,true,AGREEMENT_PASS,4.576,12.03045316550444
B2-0025,-13.75,13.75,4.574280453165504,0.004,1144,4.576,1.719546834496000,PASS,0.7797486437180936,true,true,PASS,true,AGREEMENT_PASS,4.576,12.03045316550444
B2-0026,-13.50,13.50,4.574530453165504,0.004,1144,4.576,1.469546834496000,PASS,0.779748643718051,true,true,PASS,true,AGREEMENT_PASS,4.576,12.03045316550444
B2-0027,-13.25,13.25,4.574780453165504,0.004,1144,4.576,1.219546834496000,PASS,0.7797486437177241,true,true,PASS,true,AGREEMENT_PASS,4.576,12.03045316550444
B2-0028,-13.00,13.00,4.575030453165504,0.004,1144,4.576,0.969546834496000,PASS,0.7797486437180936,true,true,PASS,true,AGREEMENT_PASS,4.576,12.03045316550444
B2-0029,-12.75,12.75,4.575280453165504,0.004,1144,4.576,0.719546834496000,PASS,0.779748643718051,true,true,PASS,true,AGREEMENT_PASS,4.576,12.03045316550444
B2-0030,-12.50,12.50,4.575530453165504,0.004,1144,4.576,0.469546834496000,PASS,0.7698196187287749,true,true,PASS,true,AGREEMENT_PASS,4.576,12.03045316550444
