scope,window_half_width_um,grid_mm,state_count,classifiable_count,agreement_count,agreement_rate,conservative_false_rejection_count,optimistic_false_acceptance_count,numerical_unresolved_count,max_misclassification_distance_um,max_upward_mapping_delta_um,continuous_boundary_mm,discrete_upper_recoverable_boundary_mm,boundary_under_approximation_um
overall,,0.004,161,161,112,0.6956521739130435,49,0,0,12.0,3.969546834496,4.588030453165504,4.576,12.03045316550444
pm5_um,5,0.004,41,41,20,0.4878048780487805,21,0,0,5.0,3.969546834496,4.588030453165504,4.576,12.03045316550444
pm10_um,10,0.004,81,81,40,0.49382716049382713,41,0,0,10.0,3.969546834496,4.588030453165504,4.576,12.03045316550444
pm20_um,20,0.004,161,161,112,0.6956521739130435,49,0,0,12.0,3.969546834496,4.588030453165504,4.576,12.03045316550444
overall,,0.002,161,161,144,0.8944099378881988,17,0,0,4.0,1.969546834496,4.588030453165504,4.584,4.030453165504433
pm5_um,5,0.002,41,41,24,0.5853658536585366,17,0,0,4.0,1.969546834496,4.588030453165504,4.584,4.030453165504433
pm10_um,10,0.002,81,81,64,0.7901234567901234,17,0,0,4.0,1.969546834496,4.588030453165504,4.584,4.030453165504433
pm20_um,20,0.002,161,161,144,0.8944099378881988,17,0,0,4.0,1.969546834496,4.588030453165504,4.584,4.030453165504433
overall,,0.001,161,161,152,0.9440993788819876,9,0,0,2.0,0.969546834496,4.588030453165504,4.586,2.030453165503765
pm5_um,5,0.001,41,41,32,0.7804878048780488,9,0,0,2.0,0.969546834496,4.588030453165504,4.586,2.030453165503765
pm10_um,10,0.001,81,81,72,0.8888888888888888,9,0,0,2.0,0.969546834496,4.588030453165504,4.586,2.030453165503765
pm20_um,20,0.001,161,161,152,0.9440993788819876,9,0,0,2.0,0.969546834496,4.588030453165504,4.586,2.030453165503765
overall,,0.0005,161,161,154,0.9565217391304348,7,0,0,1.5,0.469546834496,4.588030453165504,4.5865,1.530453165504042
pm5_um,5,0.0005,41,41,34,0.8292682926829268,7,0,0,1.5,0.469546834496,4.588030453165504,4.5865,1.530453165504042
pm10_um,10,0.0005,81,81,74,0.9135802469135802,7,0,0,1.5,0.469546834496,4.588030453165504,4.5865,1.530453165504042
pm20_um,20,0.0005,161,161,154,0.9565217391304348,7,0,0,1.5,0.469546834496,4.588030453165504,4.5865,1.530453165504042
overall,,0.00025,161,161,158,0.9813664596273292,3,0,0,0.5,0.219546834496,4.588030453165504,4.5875,0.5304531655037081
pm5_um,5,0.00025,41,41,38,0.926829268292683,3,0,0,0.5,0.219546834496,4.588030453165504,4.5875,0.5304531655037081
pm10_um,10,0.00025,81,81,78,0.9629629629629629,3,0,0,0.5,0.219546834496,4.588030453165504,4.5875,0.5304531655037081
pm20_um,20,0.00025,161,161,158,0.9813664596273292,3,0,0,0.5,0.219546834496,4.588030453165504,4.5875,0.5304531655037081
